[2020-08-14T07:48:16.845852-03:00] desafio-finnet.INFO: Request Log / [] []
[2020-08-14T07:52:26.385256-03:00] desafio-finnet.INFO: Request Log / [] []
[2020-08-14T15:20:20.300665+02:00] desafio-finnet.INFO: Company Created! {"id":null,"name":"Finnet","password":"1234"} []
[2020-08-14T16:29:56.451643+02:00] desafio-finnet.INFO: Company Created! {"id":null,"name":"Finnet","password":"1234"} []
[2020-08-14T16:30:09.035443+02:00] desafio-finnet.INFO: Company Created! {"id":null,"name":"finnet","password":"1234"} []
[2020-08-15T10:36:33.426995-03:00] desafio-finnet.INFO: Import CSV Success! [] []
[2020-08-15T10:38:37.293091-03:00] desafio-finnet.INFO: Import CSV Success! [] []
[2020-08-15T10:39:02.141353-03:00] desafio-finnet.INFO: Import CSV Success! [] []
[2020-08-15T10:41:41.944911-03:00] desafio-finnet.INFO: Import CSV Success! [] []
[2020-08-15T10:41:58.252115-03:00] desafio-finnet.INFO: Import CSV Success! [] []
[2020-08-15T10:42:04.813928-03:00] desafio-finnet.INFO: Import CSV Success! [] []
[2020-08-15T10:42:11.090862-03:00] desafio-finnet.INFO: Import CSV Success! [] []
[2020-08-15T10:42:17.081066-03:00] desafio-finnet.INFO: Import CSV Success! [] []
[2020-08-15T10:42:37.444414-03:00] desafio-finnet.INFO: Import CSV Success! [] []
[2020-08-15T10:45:15.743858-03:00] desafio-finnet.INFO: Import CSV Success! [] []
[2020-08-15T10:46:58.547835-03:00] desafio-finnet.INFO: Import CSV Success! [] []
[2020-08-15T10:48:06.663649-03:00] desafio-finnet.INFO: Import CSV Success! [] []
[2020-08-15T11:32:57.643353-03:00] desafio-finnet.INFO: Company Created! {"id":null,"name":"finnet","password":"1234"} []
[2020-08-15T11:35:03.999989-03:00] desafio-finnet.INFO: Company Created! {"id":null,"name":"finnet","password":"1234"} []
[2020-08-15T11:35:47.333597-03:00] desafio-finnet.INFO: Company Created! {"id":null,"name":"finnet","password":"1234"} []
[2020-08-15T11:38:38.580080-03:00] desafio-finnet.INFO: Client Created! {"id":2,"cpf_cnpj":"64200679209","name":"Elaina","email":"eforsey1@si.edu"} []
[2020-08-15T11:38:38.668232-03:00] desafio-finnet.INFO: Client Created! {"id":3,"cpf_cnpj":"71234212800","name":"Ermina","email":"ebarstowk2@noaa.gov"} []
[2020-08-15T11:38:38.801103-03:00] desafio-finnet.INFO: Client Created! {"id":4,"cpf_cnpj":"20695094736","name":"Stanford","email":"sminogue3@seattletimes.com"} []
[2020-08-15T11:38:38.915442-03:00] desafio-finnet.INFO: Client Created! {"id":5,"cpf_cnpj":"60632579509","name":"Harold","email":"hkyllford4@delicious.com"} []
[2020-08-15T11:38:39.343572-03:00] desafio-finnet.INFO: Client Created! {"id":6,"cpf_cnpj":"22935394641","name":"Shelia","email":"skillshaw6@prweb.com"} []
[2020-08-15T11:38:39.398947-03:00] desafio-finnet.INFO: Client Created! {"id":7,"cpf_cnpj":"31629446823","name":"Brittne","email":"bbysouth7@sakura.ne.jp"} []
[2020-08-15T11:38:39.454197-03:00] desafio-finnet.INFO: Client Created! {"id":8,"cpf_cnpj":"86948936909","name":"Dov","email":"desslemont8@joomla.org"} []
[2020-08-15T11:38:39.531727-03:00] desafio-finnet.INFO: Client Created! {"id":9,"cpf_cnpj":"28207606895","name":"Meredithe","email":"mchildes9@webeden.co.uk"} []
[2020-08-15T11:38:39.609239-03:00] desafio-finnet.INFO: Client Created! {"id":10,"cpf_cnpj":"87274997911","name":"Obie","email":"obrenstona@creativecommons.org"} []
[2020-08-15T11:38:39.687227-03:00] desafio-finnet.INFO: Client Created! {"id":11,"cpf_cnpj":"55776573168","name":"Nada","email":"nleathesb@virginia.edu"} []
[2020-08-15T11:38:39.753343-03:00] desafio-finnet.INFO: Client Created! {"id":12,"cpf_cnpj":"16468155153","name":"Kip","email":"kchillistonec@ca.gov"} []
