cpf,name,email,date_due,total
86486935560,Mack,mmclardie0@census.gov,29/12/2020,879.23
64200679209,Elaina,eforsey1@si.edu,08/10/2020,969.79
71234212800,Ermina,ebarstowk2@noaa.gov,08/11/2020,305.67
20695094736,Stanford,sminogue3@seattletimes.com,15/11/2020,79.39
60632579509,Harold,hkyllford4@delicious.com,22/09/2020,275.46
64200679209,Jany,jmeugens5@ning.com,27/10/2020,333.99
22935394641,Shelia,skillshaw6@prweb.com,05/01/2021,726.43
31629446823,Brittne,bbysouth7@sakura.ne.jp,09/01/2021,479.05
86948936909,Dov,desslemont8@joomla.org,13/10/2020,431.76
28207606895,Meredithe,mchildes9@webeden.co.uk,17/12/2020,349.83
87274997911,Obie,obrenstona@creativecommons.org,07/12/2020,226.57
55776573168,Nada,nleathesb@virginia.edu,27/10/2020,682.89
16468155153,Kip,kchillistonec@ca.gov,03/02/2021,243.0
02249216749,Dame,ddodmand@nytimes.com,27/10/2020,50.73
57208649756,Aeriel,ajindrake@networksolutions.com,12/01/2021,599.5
76072186920,Lani,livief@tripadvisor.com,08/09/2020,474.23
38224848284,Hester,hbarlassg@cbslocal.com,24/12/2020,594.13
74842246918,Trude,treachh@amazon.com,12/09/2020,418.48
99090883883,Ashely,agrishinovi@dailymotion.com,09/01/2021,445.81
93586111033,Eduino,emorlj@ucoz.com,08/12/2020,732.92
81117263012,Beatrix,broubertk@opensource.org,22/11/2020,964.25
01767370589,Adore,adematteil@unc.edu,22/11/2020,975.43
02249216749,Irwin,irubertellim@macromedia.com,18/11/2020,936.63
73962335706,Edvard,educarnen@msn.com,01/09/2020,948.02
08301349867,Gill,gdredgeo@a8.net,10/10/2020,136.16
66272099467,Lenka,lsorop@symantec.com,24/11/2020,575.34
77007058198,Noach,npoldingq@blogtalkradio.com,29/01/2021,921.77
46045319134,Sherwynd,slindbergr@usda.gov,03/12/2020,381.22
11905798948,Ardelis,apetrollis@cdc.gov,11/10/2020,807.95
51160416168,Gawain,gbessettt@amazon.co.uk,15/12/2020,909.32
49927585888,Helena,hsnufflebottomu@mit.edu,02/11/2020,610.66
20075773094,Amata,ayushinv@ask.com,03/10/2020,574.53
01230169060,Brent,bperrettw@prlog.org,30/09/2020,124.64
75162590347,Wang,wwaterfieldx@trellian.com,25/11/2020,101.07
01230169060,Talbert,tsinnotty@hexun.com,13/09/2020,617.42
66788070614,Lelah,lrevelandz@constantcontact.com,08/01/2021,892.33
77007058198,Caroljean,chendriksen10@soundcloud.com,04/01/2021,10.55
72504168047,Ad,abellew11@patch.com,02/09/2020,478.64
